GeneID,log2(FC)M2,P-valueM2,P-adjM2,log2(FC)M4,P-valueM4,P-adjM4
ENSG00000232024,0.095700988,0.572438269,0.848015413,0.078679436,0.508906479,0.79293403
ENSG00000232025,NA,NA,NA,NA,NA,NA
ENSG00000232026,NA,NA,NA,NA,NA,NA
ENSG00000232027,0.035774686,0.488978856,NA,0.007156764,0.802934389,NA
ENSG00000232028,NA,NA,NA,NA,NA,NA
ENSG00000232029,NA,NA,NA,NA,NA,NA
ENSG00000232030,NA,NA,NA,NA,NA,NA
ENSG00000232031,NA,NA,NA,NA,NA,NA
ENSG00000232032,NA,NA,NA,NA,NA,NA
ENSG00000232034,NA,NA,NA,NA,NA,NA
ENSG00000232035,NA,NA,NA,NA,NA,NA
ENSG00000232036,NA,NA,NA,NA,NA,NA
ENSG00000232037,NA,NA,NA,NA,NA,NA
ENSG00000232039,NA,NA,NA,NA,NA,NA
ENSG00000232040,NA,NA,NA,NA,NA,NA
ENSG00000232041,NA,NA,NA,0.016531182,0.596643911,NA
ENSG00000232042,-0.045422091,0.431535893,NA,NA,NA,NA
ENSG00000232043,0.075917851,0.389874086,NA,0.013279549,0.738080866,NA
ENSG00000232044,-0.06422354,0.514962475,NA,0.018459471,0.761905669,NA
ENSG00000232045,NA,NA,NA,NA,NA,NA
ENSG00000232046,NA,NA,NA,NA,NA,NA
ENSG00000232048,NA,NA,NA,NA,NA,NA
ENSG00000232049,NA,NA,NA,NA,NA,NA
ENSG00000232050,NA,NA,NA,NA,NA,NA
ENSG00000232053,NA,NA,NA,NA,NA,NA
ENSG00000232054,NA,NA,NA,NA,NA,NA
ENSG00000232056,NA,NA,NA,NA,NA,NA
ENSG00000232057,0.003441784,0.977956453,NA,0.087353421,0.502513029,NA
ENSG00000232058,NA,NA,NA,NA,NA,NA
ENSG00000232059,-0.033834508,0.74465487,NA,0.071165975,0.358013732,NA
ENSG00000232060,0.026659377,0.907605903,0.979517916,-0.038089077,0.823833331,0.944448659
ENSG00000232062,NA,NA,NA,NA,NA,NA
ENSG00000232063,-0.011911674,0.782043764,NA,0.059830795,0.692967203,NA
ENSG00000232064,NA,NA,NA,NA,NA,NA
ENSG00000232065,0.021715702,0.798960986,NA,-0.014221457,0.781089631,NA
ENSG00000232068,NA,NA,NA,NA,NA,NA
ENSG00000232069,NA,NA,NA,NA,NA,NA
ENSG00000232070,-0.14274049,0.41887501,NA,0.144107206,0.297271677,NA
ENSG00000232072,NA,NA,NA,NA,NA,NA
ENSG00000232073,NA,NA,NA,NA,NA,NA
ENSG00000232075,0.002116289,0.975106727,NA,0.019999748,0.560144035,NA
ENSG00000232077,NA,NA,NA,0.007156764,0.802934389,NA
ENSG00000232079,0.012946606,0.763648132,NA,NA,NA,NA
ENSG00000232080,NA,NA,NA,NA,NA,NA
ENSG00000232081,NA,NA,NA,NA,NA,NA
ENSG00000232082,0.033614254,0.623111177,NA,-0.029265426,0.551684425,NA
ENSG00000232083,-0.017024085,0.853450929,NA,-0.041135045,0.32322538,NA
ENSG00000232084,NA,NA,NA,NA,NA,NA
ENSG00000232085,NA,NA,NA,NA,NA,NA
ENSG00000232086,NA,NA,NA,NA,NA,NA
ENSG00000232087,NA,NA,NA,NA,NA,NA
ENSG00000232089,NA,NA,NA,NA,NA,NA
ENSG00000232090,NA,NA,NA,NA,NA,NA
ENSG00000232091,NA,NA,NA,NA,NA,NA
ENSG00000232093,0.022014378,0.906032921,NA,0.085239371,0.500210962,NA
ENSG00000232095,NA,NA,NA,NA,NA,NA
ENSG00000232096,NA,NA,NA,NA,NA,NA
ENSG00000232097,NA,NA,NA,0.007156764,0.802934389,NA
ENSG00000232098,-0.005045008,0.982615625,0.99593375,0.342179832,0.045787892,0.240315557
ENSG00000232099,NA,NA,NA,NA,NA,NA
ENSG00000232100,NA,NA,NA,NA,NA,NA
ENSG00000232101,NA,NA,NA,NA,NA,NA
ENSG00000232102,NA,NA,NA,NA,NA,NA
ENSG00000232104,0.033614254,0.623111177,NA,NA,NA,NA
ENSG00000232105,NA,NA,NA,NA,NA,NA
ENSG00000232106,NA,NA,NA,NA,NA,NA
ENSG00000232109,NA,NA,NA,NA,NA,NA
ENSG00000232110,0.012946606,0.763648132,NA,-0.071568245,0.338558115,NA
ENSG00000232111,NA,NA,NA,-0.018386546,0.587550451,NA
ENSG00000232112,-0.237825242,0.17287965,0.555942926,-0.089753374,0.475231473,0.770667134
ENSG00000232113,NA,NA,NA,NA,NA,NA
ENSG00000232114,NA,NA,NA,NA,NA,NA
ENSG00000232115,NA,NA,NA,NA,NA,NA
ENSG00000232116,NA,NA,NA,NA,NA,NA
ENSG00000232117,NA,NA,NA,NA,NA,NA
ENSG00000232118,NA,NA,NA,NA,NA,NA
ENSG00000232119,-0.119144292,0.531000351,0.828346576,0.11781463,0.313386715,0.654683414
ENSG00000232120,NA,NA,NA,NA,NA,NA
ENSG00000232121,NA,NA,NA,NA,NA,NA
ENSG00000232122,NA,NA,NA,NA,NA,NA
ENSG00000232124,0.012946606,0.763648132,NA,0.048719597,0.266548382,NA
ENSG00000232125,NA,NA,NA,NA,NA,NA
ENSG00000232126,NA,NA,NA,NA,NA,NA
ENSG00000232127,NA,NA,NA,NA,NA,NA
ENSG00000232128,NA,NA,NA,NA,NA,NA
ENSG00000232129,NA,NA,NA,-0.018749938,0.583845262,NA
ENSG00000232130,NA,NA,NA,NA,NA,NA
ENSG00000232131,NA,NA,NA,NA,NA,NA
ENSG00000232132,NA,NA,NA,NA,NA,NA
ENSG00000232133,NA,NA,NA,NA,NA,NA
ENSG00000232134,0.05541758,0.498387273,NA,0.052486301,0.248314911,NA
ENSG00000232135,NA,NA,NA,NA,NA,NA
ENSG00000232136,NA,NA,NA,NA,NA,NA
ENSG00000232138,NA,NA,NA,NA,NA,NA
ENSG00000232139,NA,NA,NA,0.000581742,0.986605352,NA
ENSG00000232140,NA,NA,NA,NA,NA,NA
ENSG00000232141,NA,NA,NA,NA,NA,NA
ENSG00000232142,NA,NA,NA,NA,NA,NA
ENSG00000232143,NA,NA,NA,NA,NA,NA
ENSG00000232144,NA,NA,NA,0.007156764,0.802934389,NA
ENSG00000232145,NA,NA,NA,NA,NA,NA
ENSG00000232146,NA,NA,NA,NA,NA,NA
ENSG00000232148,NA,NA,NA,NA,NA,NA
ENSG00000232149,NA,NA,NA,NA,NA,NA
ENSG00000232150,0.011892446,0.95734495,0.99084662,-0.021113017,0.8979749,0.97089066
ENSG00000232151,NA,NA,NA,NA,NA,NA
ENSG00000232153,NA,NA,NA,NA,NA,NA
ENSG00000232154,NA,NA,NA,NA,NA,NA
ENSG00000232155,NA,NA,NA,NA,NA,NA
ENSG00000232156,NA,NA,NA,NA,NA,NA
ENSG00000232158,0.012946606,0.763648132,NA,-0.006362426,0.824428122,NA
ENSG00000232159,NA,NA,NA,NA,NA,NA
ENSG00000232160,0.169323858,0.396315084,NA,-0.051046591,0.693566459,NA
ENSG00000232161,NA,NA,NA,NA,NA,NA
ENSG00000232162,NA,NA,NA,NA,NA,NA
